school_name,city,state,zip_code,latitude,longitude,endowment_begin,endowment_end,endowment_diff
Florida Atlantic University,Boca Raton,FL,33431-0991,26.372421,-80.102978,375146137,334780801,-40365336
Florida State College at Jacksonville,Jacksonville,FL,32202,30.334918,-81.659901,28459413,38533487,10074074
Flagler College,Saint Augustine,FL,32084,29.892733,-81.314887,83206439,93200395,9993956
Florida College,Temple Terrace,FL,33617,28.034936,-82.383289,19635436,18635137,-1000299
AdventHealth University,Orlando,FL,32803,28.576142,-81.367687,9875753,10320727,444974
Florida Institute of Technology,Melbourne,FL,32901-6975,28.065815,-80.622893,110850056,88925472,-21924584
Florida International University,Miami,FL,33199,25.75732,-80.373928,276410044,284292410,7882366
The College of the Florida Keys,Key West,FL,33040,24.582748,-81.74446,6480615,6366597,-114018
Florida Memorial University,Miami Gardens,FL,33054-6199,25.918278,-80.270753,6013894,5103989,-909905
Florida Southern College,Lakeland,FL,33801-5698,28.032443,-81.948203,111809685,106785429,-5024256
Florida State University,Tallahassee,FL,32306-1037,30.443147,-84.295064,897762598,898119860,357262
University of Florida,Gainesville,FL,32611,29.64629,-82.347911,2375793000,2272548000,-103245000
Gulf Coast State College,Panama City,FL,32401,30.185542,-85.727918,38517879,35134439,-3383440
Hillsborough Community College,Tampa,FL,33606-3584,27.934888,-82.456253,5231595,6202352,970757
Hobe Sound Bible College,Hobe Sound,FL,33455-1065,27.066304,-80.13184,2677030,2749037,72007
Indian River State College,Fort Pierce,FL,34981-5596,27.42416,-80.358682,28526945,29320209,793264
Jacksonville University,Jacksonville,FL,32211-3394,30.353227,-81.60458,59216191,55653324,-3562867
Florida Gateway College,Lake City,FL,32025-2007,30.175298,-82.5679,16648725,17562238,913513
Lake-Sumter State College,Leesburg,FL,34788-8751,28.828649,-81.797193,12280939,13903847,1622908
Luther Rice College & Seminary,Lithonia,GA,30038-9869,33.698126,-84.123179,1256120,1311137,55017
State College of Florida-Manatee-Sarasota,Bradenton,FL,34207,27.43804,-82.590887,46310607,57898788,11588181
Trinity International University-Florida,Miami,FL,33186,25.68307,-80.417646,425000,248004,-176996
Miami Dade College,Miami,FL,33132-2204,25.777717,-80.190856,272843053,259013444,-13829609
University of Miami,Coral Gables,FL,33146,25.72126,-80.278662,1393436637,1344283912,-49152725
North Florida College,Madison,FL,32340,30.473841,-83.420732,4069519,4257317,187798
University of North Florida,Jacksonville,FL,32224-7699,30.27194,-81.509144,141106152,126531762,-14574390
Nova Southeastern University,Fort Lauderdale,FL,33314-7796,26.079337,-80.24248,226994000,200766000,-26228000
Northwest Florida State College,Niceville,FL,32578-1295,30.540017,-86.47456,37721413,38328700,607287
Palm Beach Atlantic University,West Palm Beach,FL,33401,26.7044,-80.05247,97750000,97755000,5000
Palm Beach State College,Lake Worth,FL,33461-4796,26.61256,-80.08653,20726537,21228494,501957
Pasco-Hernando State College,New Port Richey,FL,34654-5199,28.2751,-82.646727,61797860,68385681,6587821
Pensacola State College,Pensacola,FL,32504-8998,30.479267,-87.200265,11821324,14466368,2645044
Polk State College,Winter Haven,FL,33881-4299,28.032411,-81.711873,33720521,37621889,3901368
Saint Vincent de Paul Regional Seminary,Boynton Beach,FL,33436-4899,26.516538,-80.125185,39243815,34033746,-5210069
Ringling College of Art and Design,Sarasota,FL,34234-5895,27.360931,-82.547803,63982310,61659431,-2322879
Rollins College,Winter Park,FL,32789-4499,28.592787,-81.349239,460276000,467238000,6962000
Saint Leo University,Saint Leo,FL,33574-6665,28.336776,-82.257801,92347642,67564541,-24783101
St Petersburg College,St. Petersburg,FL,33701,27.773264,-82.636587,32111406,33992804,1881398
Santa Fe College,Gainesville,FL,32606-6210,29.681037,-82.433143,35295242,36217622,922380
Seminole State College of Florida,Sanford,FL,32773-6199,28.745482,-81.308003,12526522,13094440,567918
St. John Vianney College Seminary,Miami,FL,33165-3244,25.742579,-80.337411,10608544,10608545,1
Saint Johns River State College,Palatka,FL,32177,29.647516,-81.681387,3243258,3326788,83530
South Florida State College,Avon Park,FL,33825-9356,27.56974,-81.508667,15289581,17420690,2131109
University of South Florida,Tampa,FL,33620-9951,28.061458,-82.413232,692741042,604516638,-88224404
St. Thomas University,Miami Gardens,FL,33054-6459,25.922071,-80.253273,40042465,34405192,-5637273
Stetson University,DeLand,FL,32723,29.035475,-81.300746,387215324,352639796,-34575528
Southeastern University,Lakeland,FL,33801-6034,28.029733,-81.918382,10050766,10299383,248617
Tallahassee Community College,Tallahassee,FL,32304-2895,30.443866,-84.339,17089503,17884735,795232
The University of Tampa,Tampa,FL,33606-1490,27.948455,-82.46483,58215971,56608582,-1607389
Trinity Baptist College,Jacksonville,FL,32221,30.311171,-81.79626,113899,95233,-18666
Trinity College of Florida,Trinity,FL,34655-4401,28.194732,-82.678318,825648,842253,16605
Valencia College,Orlando,FL,32835,28.520898,-81.471466,88705021,91586993,2881972
Warner University,Lake Wales,FL,33859-8797,27.825751,-81.599972,6907619,6604180,-303439
Webber International University,Babson Park,FL,33827-0096,27.838778,-81.532315,6863658,6700351,-163307
The University of West Florida,Pensacola,FL,32514-5750,30.549076,-87.218511,100513345,86874886,-13638459
Abraham Baldwin Agricultural College,Tifton,GA,31793-2601,31.481889,-83.528281,21693997,19053103,-2640894
Agnes Scott College,Decatur,GA,30030-3770,33.769268,-84.295459,247192299,218548954,-28643345
Albany State University,Albany,GA,31705,31.56928,-84.141825,4114598,4043047,-71551
Andrew College,Cuthbert,GA,39840-5550,31.772321,-84.795021,9881145,8904436,-976709
Point University,West Point,GA,31833,32.87912,-85.184931,4923245,5259269,336024
Atlanta Metropolitan State College,Atlanta,GA,30310-4448,33.70893,-84.404659,605424,542698,-62726
Clark Atlanta University,Atlanta,GA,30314-4391,33.747628,-84.412584,102435884,92509648,-9926236
Berry College,Mount Berry,GA,30149,34.290414,-85.189202,1212852600,1236197740,23345140
Brenau University,Gainesville,GA,30501-3668,34.303117,-83.821513,61256728,50668512,-10588216
